KG id,KG name,Sparql endpoint,SPARQL endpoint URL,Availability of RDF dump (metadata),Availability of RDF dump (query),URL for download the dataset,Inactive links,Age of data,Modification date,Percentage of data updated,Time elapsed since last modification,Historical updates,Languages (query),Languages (metadata),Serialization formats,Availability for download (query),Availability for download (metadata),Use HTTPS,Requires authentication,Average length of URIs (subject),Standard deviation lenght URIs (subject),Min length URIs (subject),25th percentile length URIs (subject),Median length URIs (subject),75th percentile length URIs (subject),Max length URIs (subject),Average length of URIs (predicate),Standard deviation lenght URIs (predicate),Min length URIs (predicate),25th percentile length URIs (predicate),Median length URIs (predicate),75th percentile length URIs (predicate),Max length URIs (predicate),Average length of URIs (object),Standard deviation lenght URIs (object),Min length URIs (object),25th percentile length URIs (object),Median length URIs (object),75th percentile length URIs (object),Max length URIs (object),Use RDF structures,License machine redeable (metadata),License machine redeable (query),License human redeable,Minimum latency,25th percentile latency,Median latency,75th percentile latency,Maximum latency,Average latency,Standard deviation of latency,Minimum throughput,25th percentile throughput,Median throughput,75th percentile throughput,Maximum throughput,Average throughput, Standard deviation of throughput, Number of triples (metadata),Number of triples (query),Number of entities,Number of entities counted with regex,Number of property,Dataset update frequency,Degree of connection,Clustering coefficient,Centrality,Number of samAs chains,External links,PageRank,Description,Dataset URL,Is on a trusted provider list,Trust value,Vocabularies,Author (query),Author (metadata),Contributor,Publisher,Sources,Signed, Number of triples,Number of triples linked,Interlinking completeness,New vocabularies defined in the dataset,New terms defined in the dataset,Number of labels/comments present on the data, Percentage of triples with labels,Regex uri,Presence of example,Number of blank nodes,Uses RDF structures,Deprecated classes/properties used,Entities as member of disjoint class,Triples with misplaced property problem,Triples with misplaced class problem,Ontology Hijacking problem,Undefined class used without declaration,Undefined properties used without declaration,Extensional conciseness,Intensional conciseness,Triples with empty annotation problem,Triples with white space in annotation(at the beginning or at the end),Triples with malformed data type literals problem,Functional properties with inconsistent values,Invalid usage of inverse-functional properties,Number of triples updated,Score,Normalized score,Limited,Offline dumps,Url file VoID,Availability VoID file,MinTPNoOff,MeanTPNoOff,MaxTPNoOff,sdTPNoOff,URIs Deferenceability,Availability score,Licensing score,Interlinking score,Performance score,Accuracy score,Consistency score,Conciseness score,Verifiability score,Reputation score,Believability score,Currency score,Volatility score,Completeness score,Amount of data score,Representational-Consistency score,Representational-Conciseness score,Understandability score,Interpretability score,Versatility score,Security score,SKOS mapping properties,U1-value,CS2-value,IN3-value,RC1-value,RC2-value,IN4-value,metadata-media-type,Availability of a common accepted Media Type,U5-value,PE2-value,PE3-value,F1-M Unique and persistent ID,F1-D URIs dereferenceability,F2a-M - Metadata availability via standard primary sources,F2b-M Metadata availability for all the attributes covered in the FAIR score computation,F3-M Data referrable via a DOI,F4-M Metadata registered in a searchable engine,F score,A1-D Working access point(s),A1-M Metadata availability via working primary sources,A1.2 Authentication & HTTPS support,A2-M Registered in search engines,A score,R1.1 Machine- or human-readable license retrievable via any primary source,R1.2 Publisher information such as authors-contributors-publishers and sources,R1.3-D Data organized in a standardized way,R1.3-M Metadata are described with VoID/DCAT predicates,R score,I1-D Standard & open representation format,I1-M Metadata are described with VoID/DCAT predicates,I2 Use of FAIR vocabularies,I3-D Degree of connection,I score,FAIR score
0080-3626,Korespondencja Emila Szramka z Janem Kuderą,-,,1,-,['https://yxdf4kyd.r.us-west-2.awstrack.me/L0/https:%2F%2Fwww.samsung.com%2Fus%2Fbusiness%2Faccount%2Flogin%2F/1/010101910a88573f-7a6835d6-58bb-4ed1-8d8f-0fdbfb180719-000000/YcIsDwnAlS_kH1w_mss7wSxCI2c=386'],True,-,-,-,-,-,-,absent,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://opendefinition.org/licenses/against-drm,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8939,-,-,-,-,-,0,0,"0,000",-,[],"7,517666516313356e-05",Zapis korespondencji między Emilem Szramką a Janem Kuderą.,http://rocznikibiblioteczne.ibi.uni.wroc.pl/wp-content/uploads/2019/04/reiter.pdf,False,"0,75",-,-,"Name: absent, email: younessch1111@gmail.com",-,-,Web:http://rocznikibiblioteczne.ibi.uni.wroc.pl/wp-content/uploads/2019/04/reiter.pdf Name:Karolina Grzeszczak Email:karolina.n.grzeszczak@gmail.com,-,8939,0,0.00,-,-,-,-,-,False,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.108,10.825,-,"['http://www.assets.funding.accounts..com', 'http://www. Die en France und die Stadt erkunden Sie auf dem ', 'http://www. je nachdem ob es una de la Argentina .com', 'http://www..gov ', 'http://www. gracias por dinero .com']",,VoID file absent,-,-,-,-,-,0.25,0.5,0.0,0,0.0,0.0,0.0,0.33166666666666667,7.517666516313356e-06,0.75,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,-,0,0,0.0,0,0,0,"['PDF', 'International ', 'Assets ', 'Assets ', 'Aber ich denke ', 'Celular']",False,0,0,0,1,0,1,0.67,1,1,0.78,1,1,0.0,1,0.75,1,1,0,1,0.75,0,1,0,0,0.25,2.53
10.12041geodata.290864223.ver1.db_,土地利用图,-,,-1,-,[],False,-,-,-,-,-,-,absent,-,-,-1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,http://www.opendefinition.org/licenses/cc-zero,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,29,-,-,-,-,-,0,0,"0,000",-,[],"7,517666516313356e-05",包含2001年湖北丹江口、咸宁及秭归三个地区的土地利用图及属性表。项目来源：国家重点基础研究项目“中国主要水蚀区土壤侵蚀过程与调控研究”。用于研究水土流失规律，服务对象为从事水土流失研究的学生和科研人员。数据收集时间为2009年，数据采集地点湖北咸宁、丹江口、秭归，经度最大115.67；最小109.72。 纬度最大32.55；最小29.85 采用krasovsky_1940_albers投影,http://www.geodata.cn/data/datadetails.html?dataguid=290864223&docid=17580,False,"0,75",-,-,"Name: absent, email: a544834722@gmail.com",-,-,Web:http://www.geodata.cn/data/datadetails.html?dataguid=290864223&docid=17580 Name:li Email:544834722@qq.com,-,29,0,0.00,-,-,-,-,-,False,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.108,10.825,-,[],,VoID file absent,-,-,-,-,-,0.25,0.5,0.0,0,0.0,0.0,0.0,0.33166666666666667,7.517666516313356e-06,0.75,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,-,0,0,0.0,0,0,0,[],No dump available,0,0,0,1,0,1,0.44,1,1,0.74,0,1,0.0,1,0.5,1,1,0,1,0.75,0,1,0,0,0.25,2.24
11,113322,-,,1,-,['https://skinphoniqa.wixsite.com/skinphoniqa'],False,-,-,-,-,-,-,absent,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,http://www.opendefinition.org/licenses/cc-zero,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,0,0,"0,000",-,[],"7,517666516313356e-05",SkinPhoniqa,https://skinphoniqa.wixsite.com/skinphoniqa,False,"0,75",-,-,"Name: K. Fellows, email: karafellows44@gmail.com",-,-,Web:https://skinphoniqa.wixsite.com/skinphoniqa Name:Cate  Email:godygoole@gmail.com,-,0,0,0,-,-,-,-,-,False,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.121,12.075,-,[],,VoID file absent,-,-,-,-,-,0.5,0.5,0.0,0,0.0,0.0,0.0,0.33166666666666667,7.517666516313356e-06,0.75,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,-,0,0,0.0,0,0,0,['Auto'],False,0,0,0,1,0,1,0.67,1,1,0.78,1,1,0.0,1,0.75,1,1,0,1,0.75,0,1,0,0,0.25,2.53
12323,Korepetycje Buki,-,,-1,-,[],False,-,-,-,-,-,-,absent,-,-,-1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://creativecommons.org/licenses/by/3.0/,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,0,0,"0,000",-,[],"7,517666516313356e-05",Bezpłatny i wygodny serwis poszukiwań korepetytora w Polsce. Znajdź nauczyciela w swoim mieście lub ucz się online. Korepetycje – Łatwy wybór korepetytora!,https://buki.org.pl/,False,"0,75",-,-,"Name: absent, email: anton.isaenko@buki.ua",-,-,Web:https://buki.org.pl/ Name:Support Email:info@buki.org.pl,-,0,0,0,-,-,-,-,-,False,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.108,10.825,-,[],,VoID file absent,-,-,-,-,-,0.25,0.5,0.0,0,0.0,0.0,0.0,0.33166666666666667,7.517666516313356e-06,0.75,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,-,0,0,0.0,0,0,0,[],No dump available,0,0,0,1,0,1,0.44,1,1,0.74,0,1,0.0,1,0.5,1,1,0,1,0.75,0,1,0,0,0.25,2.24
2000-us-census-rdf,2000 U.S. Census in RDF (rdfabout.com),-,http://www.rdfabout.com/sparql,0,-,[],True,-,-,-,-,-,-,{},-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,http://creativecommons.org/licenses/by-nc/2.0/,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1002848918,-,-,-,-,-,4,"0,667","0,002",-,[],"8,364214706403744e-05","2000 U.S. Census converted into over a billion RDF triples.

Population statistics at various geographic levels, from the U.S. as a whole, down through states, counties, sub-counties (roughly, cities and incorporated towns)

Notes: also found in the of SPARQL Endpoints.

From home page:

> * For the detailed Census statistics, you'll have to download the raw Census data files from the Census Bureau, my Perl script and the patch file below and run it yourself because the files are too big for me to offer as a download!
> 
> * The data and scripts can be reused under Creative Commons Attribution-NonCommercial-ShareAlike.",http://www.rdfabout.com/demo/census/,False,"0,75",-,-,False,-,-,Web:http://www.rdfabout.com/demo/census/ Name:Joshua Tauberer Email:http://razor.occams.info/,-,1002848918,0,0.00,-,-,-,-,-,True,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.1,9.992,-,[],,VoID file absent,-,-,-,-,-,0.0,0.5,0.0,0,0.0,0.0,0.0,0.165,8.364214706403745e-06,0.75,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.25,0.0,0.0,0.0,-,0,0,0.0,0,0,0,"['meta/sitemap', 'api/sparql']",No dump available,0,0,0,1,0,1,0.78,1,1,0.8,0,1,0.0,1,0.5,1,1,1,1,1.0,1,1,0,1,0.75,3.05
2001-spanish-census-to-rdf,2001 Spanish Census to RDF,-,http://visualdataweb.infor.uva.es/sparql,0,-,[],True,-,-,-,-,-,-,{},-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,http://www.opendefinition.org/licenses/cc-by-sa,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,93325760,-,-,-,-,-,2,0,"0,001",-,"['Name:RDFLicense, value:1', 'Name:geonames, value:507']","0,00010727240374761534","This site offers information of the conversion process of a 5% sampling of the 2001 Spanish census from a plain useless format to RDF, a semantic representation supported by different products, services and protocols.",http://dataweb.infor.uva.es/census2001,True,"1,0",-,-,False,-,-,Web:http://dataweb.infor.uva.es/census2001 Name:Javier D. Fernández Email:jfergar@infor.uva.es,-,93325760,508,0.00,-,-,-,-,-,True,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.112,11.242,-,[],,VoID file absent,-,-,-,-,-,0.0,0.5,0.0,0,0.0,0.0,0.0,0.165,1.0727240374761534e-05,1.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.25,0.0,0.0,0.0,-,0,0,0.0,0,0,0,"['api/sparql', 'RDF', 'RDF', 'RDF', 'RDF', 'RDF', 'RDF', 'meta/void']",No dump available,0,0,0,1,0,1,0.78,1,1,0.8,0,1,0.0,1,0.5,1,1,1,1,1.0,1,1,0,1,0.75,3.05
_data.odw.tw,Open Data Web,-,http://data.odw.tw/sparql,-1,-,[],False,-,-,-,-,-,-,absent,-,-,-1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://creativecommons.org/licenses/by-sa/3.0/,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,1,0,"0,000",-,"['Name: data.odw.tw, value:123']","0,000501177767754223",H,http://data.odw.tw/,False,"0,75",-,-,"Name: absent, email: destinymuffat@icloud.com",-,-,Web:http://data.odw.tw/ Name:Andrea Wei-Ching Huang Email:andreahg@iis.sinica.edu.tw,-,0,123,0,-,-,-,-,-,False,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.108,10.825,-,[],,VoID file absent,-,-,-,-,-,0.25,0.5,0.0,0,0.0,0.0,0.0,0.33166666666666667,5.0117776775422306e-05,0.75,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,-,0,0,0.0,0,0,0,[],No dump available,0,0,0,1,0,1,0.67,1,1,0.78,0.5,1,0.0,1,0.62,1,1,0,1,0.75,0,1,0,1,0.5,2.65
_data1.odw.tw,土地利用,-,,-1,-,[],False,-,-,-,-,-,-,absent,-,-,-1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,http://www.opendefinition.org/licenses/cc-by-sa,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,0,0,"0,000",-,[],"7,517666516313356e-05",包含2001年湖北丹江口、咸宁及秭归三个地区的土地利用图及属性表。项目来源：国家重点基础研究项目“中国主要水蚀区土壤侵蚀过程与调控研究”。用于研究水土流失规律，服务对象为从事水土流失研究的学生和科研人员。数据收集时间为2009年，数据采集地点湖北咸宁、丹江口、秭归，经度最大115.67；最小109.72。 纬度最大32.55；最小29.85 采用krasovsky_1940_albers投影,http://baidu,False,"0,75",-,-,"Name: absent, email: a544834722@gmail.com",-,-,Web:http://baidu Name:lilll Email:5722@qq.com,-,0,0,0,-,-,-,-,-,False,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.108,10.825,-,[],,VoID file absent,-,-,-,-,-,0.25,0.5,0.0,0,0.0,0.0,0.0,0.33166666666666667,7.517666516313356e-06,0.75,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,-,0,0,0.0,0,0,0,[],No dump available,0,0,0,1,0,1,0.44,1,1,0.74,0,1,0.0,1,0.5,1,1,0,1,0.75,0,1,0,0,0.25,2.24
_data2.odw.tw,土地利用模型,-,,1,-,[],False,-,-,-,-,-,-,absent,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,http://www.opendefinition.org/licenses/cc-by-sa,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,0,0,"0,000",-,[],"7,517666516313356e-05",知识包,http://www.geodata.cn/data/datadetails.html?dataguid=290864223&docid=17580,False,"0,75",-,-,"Name: absent, email: a544834722@gmail.com",-,-,Web:http://www.geodata.cn/data/datadetails.html?dataguid=290864223&docid=17580 Name:ki Email:5722@qq.com,-,0,0,0,-,-,-,-,-,False,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.121,12.075,-,[],,VoID file absent,-,-,-,-,-,0.5,0.5,0.0,0,0.0,0.0,0.0,0.33166666666666667,7.517666516313356e-06,0.75,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,-,0,0,0.0,0,0,0,"['', '']",False,0,0,0,1,0,1,0.67,1,1,0.78,1,1,0.0,1,0.75,1,1,0,1,0.75,0,1,0,0,0.25,2.53
_https:data.bioontology.orgontologiesBOFdownloadapikey=8b5b7825-538d-40e0-9e9e-5ab9274a9aeb&download_format=rdf,Indian Biodiversity,-,,1,-,['https://data.bioontology.org/ontologies/BOF/download?apikey=8b5b7825-538d-40e0-9e9e-5ab9274a9aeb&download_format=rdf'],False,-,-,-,-,-,-,absent,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,http://www.opendefinition.org/licenses/gfdl,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,0,0,"0,000",-,[],"7,517666516313356e-05",Indian Biodiversity,https://data.bioontology.org/ontologies/BOF/download?apikey=8b5b7825-538d-40e0-9e9e-5ab9274a9aeb&download_format=rdf,False,"0,75",-,-,"Name: absent, email: vishal_51610080@nitkkr.ac.in",-,-,Web:https://data.bioontology.org/ontologies/BOF/download?apikey=8b5b7825-538d-40e0-9e9e-5ab9274a9aeb&download_format=rdf Name:Vishal Lama Email:vishal_51610080@nitkkr.ac.in,-,0,0,0,-,-,-,-,-,False,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.121,12.075,-,[],,VoID file absent,-,-,-,-,-,0.5,0.5,0.0,0,0.0,0.0,0.0,0.33166666666666667,7.517666516313356e-06,0.75,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,-,0,0,0.0,0,0,0,['application/octet-stream'],True,0,0,0,1,0,1,0.67,1,1,0.78,1,1,0.0,1,0.75,1,1,1,1,1.0,1,1,0,0,0.5,3.03
